IDEA/EF,ILCD/EF,ecoinvent/EF,FEDEFL
Emissions/air/non-urban,emission/air/non urban or from high stack,air/non-urban air or from high stacks,emission/air/troposphere/rural
Emissions/air/unspecified,emission/air/unspecified,air/unspecified,emission/air
Emissions/air/urban high stacks,emission/air/urban/high ,air/unspecified,emission/air/troposphere/urban/high
Emissions/air/urban air close to ground,emission/air/urban/low ,air/urban air close to ground,emission/air/troposphere/urban/ground-level
Emissions/ground/unspecified,emission/soil/unspecified,soil/unspecified,emission/ground
Emissions/water/sea water,emission/water/sea water,water/ocean,emission/water/saline water body/ocean
Emissions/water/unspecified,emission/water/unspecified,water/unspecified,emission/water
Resources/land use/land occupation,land use/occupation,natural resource/land,resource/ground
Resources/land use/Land transformation,land use/transformation,natural resource/land,
Resources/air/Renewable element resources,resource/air/renewable/element,natural resource/in air,resource/air
Resources/air/Renewable energy resources,resource/air/renewable/energy,natural resource/in air,resource/air
Resources/air/Renewable material resources,resource/air/renewable/material,natural resource/in air,resource/air
Resources/ground/Non-renewable element resources,resource/ground/non renewable/element,natural resource/in ground,resource/ground
Resources/ground/Non-renewable energy resources,resource/ground/non renewable/energy,natural resource/in ground,resource/ground
Resources/ground/Non-renewable material resources,resource/ground/non renewable/material,natural resource/in ground,resource/ground
Resources/ground/Renewable energy resources,resource/ground/renewable/energy,natural resource/in ground,resource/ground
Resources/ground/Renewable material resources,resource/ground/renewable/material,natural resource/in ground,resource/ground
Resources/water/Renewable energy resources,resource/water/renewable/energy,natural resource/in water,resource/water
Resources/water/consumption,resource/water/renewable/material,natural resource/in water,resource/water
Resources/water/use,resource/water/renewable/material,natural resource/in water,resource/water
Resources/water/withdrawal,resource/water/renewable/material,natural resource/in water,resource/water
